//market_id,account_id,market_data_id,contract_id,symbol_id,multiplier,tick_size,tick_value,margin,commission
1,3,1,1,1,20,0.25,5,19250,5.68
1,4,2,1,1,20,0.25,5,19250,4.36
1,4,1,1,1,20,0.25,5,19250,4.28
1,4,3,1,1,20,0.25,5,19250,2.08
1,1,3,1,1,20,0.25,5,19250,2.08
1,1,2,1,1,20,0.25,5,19250,4.36
1,5,5,1,1,20,0.25,5,19250,5.68
1,7,3,1,1,20,0.25,5,19250,5
1,7,2,1,1,20,0.25,5,19250,5
1,7,1,1,1,20,0.25,5,19250,5
1,8,1,1,1,20,0.25,5,19250,5.68
1,8,2,1,1,20,0.25,5,19250,4
1,6,2,1,1,20,0.25,5,19250,1.08
1,9,3,1,1,20,0.25,5,19250,2.8
1,9,4,1,1,20,0.25,5,19250,5
1,10,2,1,1,20,0.25,5,19250,3.98
1,10,1,1,1,20,0.25,5,19250,3.1
1,11,4,1,1,20,0.25,5,19250,9.16
1,11,1,1,1,20,0.25,5,19250,9.16
1,12,2,1,1,20,0.25,5,19250,5
1,12,1,1,1,20,0.25,5,19250,5
1,3,1,2,2,2,0.25,0.5,1925,1.74
1,4,2,2,2,2,0.25,0.5,1925,1.42
1,4,1,2,2,2,0.25,0.5,1925,1.34
1,4,3,2,2,2,0.25,0.5,1925,0.74
1,1,3,2,2,2,0.25,0.5,1925,0.74
1,1,2,2,2,2,0.25,0.5,1925,1.42
1,5,5,2,2,2,0.25,0.5,1925,1.74
1,7,3,2,2,2,0.25,0.5,1925,1.2
1,7,2,2,2,2,0.25,0.5,1925,1.2
1,7,1,2,2,2,0.25,0.5,1925,1.2
1,8,1,2,2,2,0.25,0.5,1925,1.74
1,8,2,2,2,2,0.25,0.5,1925,1
1,6,2,2,2,2,0.25,0.5,1925,1.2
1,9,3,2,2,2,0.25,0.5,1925,0.74
1,9,4,2,2,2,0.25,0.5,1925,1.6
1,10,2,2,2,2,0.25,0.5,1925,1.02
1,10,1,2,2,2,0.25,0.5,1925,1.04
1,11,4,2,2,2,0.25,0.5,1925,3.48
1,11,1,2,2,2,0.25,0.5,1925,3.48
1,12,2,2,2,2,0.25,0.5,1925,0.5
1,12,1,2,2,2,0.25,0.5,1925,0.5
2,3,1,3,3,50,0.25,12.5,15400,5.68
2,4,2,3,3,50,0.25,12.5,15400,4.36
2,4,1,3,3,50,0.25,12.5,15400,4.28
2,4,3,3,3,50,0.25,12.5,15400,2.08
2,1,3,3,3,50,0.25,12.5,15400,2.08
2,1,2,3,3,50,0.25,12.5,15400,4.36
2,5,5,3,3,50,0.25,12.5,15400,4.5
2,7,3,3,3,50,0.25,12.5,15400,5
2,7,2,3,3,50,0.25,12.5,15400,5
2,7,1,3,3,50,0.25,12.5,15400,5
2,8,1,3,3,50,0.25,12.5,15400,5.68
2,8,2,3,3,50,0.25,12.5,15400,4
2,6,2,3,3,50,0.25,12.5,15400,4.08
2,9,3,3,3,50,0.25,12.5,15400,2.8
2,9,4,3,3,50,0.25,12.5,15400,5
2,10,2,3,3,50,0.25,12.5,15400,3.98
2,10,1,3,3,50,0.25,12.5,15400,3.1
2,11,4,3,3,50,0.25,12.5,15400,9.16
2,11,1,3,3,50,0.25,12.5,15400,9.16
2,12,2,3,3,50,0.25,12.5,15400,5
2,12,1,3,3,50,0.25,12.5,15400,5
2,3,1,4,4,5,0.25,1.25,1540,1.74
2,4,2,4,4,5,0.25,1.25,1540,1.42
